image,width,height,psnr_db,ssim,passed_40db_threshold
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,1536,2048,59.759,0.99986,True
IMG_0980.png,1600,1200,58.979,0.99976,True
IMG_3577.png,1600,1200,59.361,0.99979,True
kodim01.png,768,512,49.53,0.99893,True
kodim02.png,768,512,49.067,0.99695,True
kodim03.png,768,512,49.263,0.99681,True
kodim04.png,512,768,49.673,0.99777,True
kodim05.png,768,512,49.636,0.99882,True
kodim06.png,768,512,49.472,0.99839,True
kodim07.png,768,512,49.228,0.99772,True
kodim08.png,768,512,49.79,0.99914,True
kodim09.png,512,768,50.017,0.9972,True
kodim10.png,512,768,49.862,0.99723,True
kodim11.png,768,512,49.41,0.99818,True
kodim12.png,768,512,49.416,0.99751,True
kodim13.png,768,512,49.323,0.99919,True
kodim14.png,768,512,49.707,0.99873,True
kodim15.png,768,512,49.727,0.99758,True
kodim16.png,768,512,49.876,0.99737,True
kodim17.png,512,768,49.87,0.99819,True
kodim18.png,512,768,49.825,0.99837,True
kodim19.png,512,768,49.746,0.99699,True
kodim20.png,768,512,51.123,0.99768,True
kodim21.png,768,512,49.914,0.99672,True
kodim22.png,768,512,49.619,0.99719,True
kodim23.png,768,512,49.716,0.99599,True
kodim24.png,768,512,51.1,0.99867,True
signal-2026-02-16-184150.png,900,1600,58.085,0.99987,True
sipi_baboon.png,512,512,48.747,0.9991,True
sipi_boat.png,512,512,51.014,0.99824,True
sipi_house.png,512,512,48.656,0.99662,True
sipi_peppers.png,512,512,48.917,0.99675,True
