width,height,payload_bytes,status,psnr_db
256,256,16,ok,48.773
256,256,32,ok,47.08
256,256,64,ok,44.998
256,256,128,ok,42.538
256,256,256,ok,39.802
256,256,512,ok,36.819
256,256,1024,ok,33.987
256,256,2048,fail,
512,512,16,ok,50.863
512,512,32,ok,50.061
512,512,64,ok,48.902
512,512,128,ok,47.244
512,512,256,ok,45.147
512,512,512,ok,42.605
512,512,1024,ok,39.85
512,512,2048,ok,36.981
1024,1024,16,ok,51.719
1024,1024,32,ok,51.482
1024,1024,64,ok,51.001
1024,1024,128,ok,50.214
1024,1024,256,ok,48.959
1024,1024,512,ok,47.264
1024,1024,1024,ok,45.108
1024,1024,2048,ok,42.565
