image,jpeg_quality,extracted,ber
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,lossless,True,0.0
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,95,True,0.0
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,90,True,0.0
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,80,True,0.0
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,70,False,0.0017
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,50,False,0.0514
IMG_0980.png,lossless,True,0.0
IMG_0980.png,95,True,0.0
IMG_0980.png,90,True,0.0
IMG_0980.png,80,True,0.0
IMG_0980.png,70,False,0.0034
IMG_0980.png,50,False,0.3699
IMG_3577.png,lossless,True,0.0
IMG_3577.png,95,True,0.0
IMG_3577.png,90,True,0.0
IMG_3577.png,80,True,0.0
IMG_3577.png,70,True,0.0
IMG_3577.png,50,False,1.0
kodim01.png,lossless,True,0.0
kodim01.png,95,True,0.0
kodim01.png,90,True,0.0
kodim01.png,80,True,0.0
kodim01.png,70,False,0.0068
kodim01.png,50,False,1.0
kodim02.png,lossless,True,0.0
kodim02.png,95,True,0.0
kodim02.png,90,True,0.0
kodim02.png,80,True,0.0
kodim02.png,70,False,0.0051
kodim02.png,50,False,0.0308
kodim03.png,lossless,True,0.0
kodim03.png,95,True,0.0
kodim03.png,90,True,0.0
kodim03.png,80,True,0.0
kodim03.png,70,False,0.0034
kodim03.png,50,False,1.0
kodim04.png,lossless,True,0.0
kodim04.png,95,True,0.0
kodim04.png,90,True,0.0
kodim04.png,80,True,0.0
kodim04.png,70,False,0.0086
kodim04.png,50,False,0.0548
kodim05.png,lossless,True,0.0
kodim05.png,95,True,0.0
kodim05.png,90,True,0.0
kodim05.png,80,False,0.0051
kodim05.png,70,False,0.0034
kodim05.png,50,False,1.0
kodim06.png,lossless,False,1.0
kodim06.png,95,False,1.0
kodim06.png,90,False,1.0
kodim06.png,80,False,1.0
kodim06.png,70,False,1.0
kodim06.png,50,False,1.0
kodim07.png,lossless,True,0.0
kodim07.png,95,True,0.0
kodim07.png,90,True,0.0
kodim07.png,80,True,0.0
kodim07.png,70,False,0.0068
kodim07.png,50,False,1.0
kodim08.png,lossless,True,0.0
kodim08.png,95,True,0.0
kodim08.png,90,True,0.0
kodim08.png,80,True,0.0
kodim08.png,70,False,0.0068
kodim08.png,50,False,1.0
kodim09.png,lossless,True,0.0
kodim09.png,95,True,0.0
kodim09.png,90,True,0.0
kodim09.png,80,True,0.0
kodim09.png,70,False,0.0051
kodim09.png,50,False,1.0
kodim10.png,lossless,True,0.0
kodim10.png,95,True,0.0
kodim10.png,90,True,0.0
kodim10.png,80,True,0.0
kodim10.png,70,False,1.0
kodim10.png,50,False,1.0
kodim11.png,lossless,True,0.0
kodim11.png,95,True,0.0
kodim11.png,90,True,0.0
kodim11.png,80,True,0.0
kodim11.png,70,False,0.0068
kodim11.png,50,False,1.0
kodim12.png,lossless,True,0.0
kodim12.png,95,True,0.0
kodim12.png,90,True,0.0
kodim12.png,80,True,0.0
kodim12.png,70,False,1.0
kodim12.png,50,False,1.0
kodim13.png,lossless,False,1.0
kodim13.png,95,False,0.0154
kodim13.png,90,False,1.0
kodim13.png,80,False,1.0
kodim13.png,70,False,1.0
kodim13.png,50,False,1.0
kodim14.png,lossless,True,0.0
kodim14.png,95,True,0.0
kodim14.png,90,True,0.0
kodim14.png,80,False,0.0017
kodim14.png,70,False,0.0051
kodim14.png,50,False,0.0274
kodim15.png,lossless,True,0.0
kodim15.png,95,True,0.0
kodim15.png,90,True,0.0
kodim15.png,80,False,0.0034
kodim15.png,70,False,1.0
kodim15.png,50,False,0.375
kodim16.png,lossless,True,0.0
kodim16.png,95,True,0.0
kodim16.png,90,True,0.0
kodim16.png,80,True,0.0
kodim16.png,70,True,0.0
kodim16.png,50,False,0.3699
kodim17.png,lossless,True,0.0
kodim17.png,95,True,0.0
kodim17.png,90,False,0.0017
kodim17.png,80,False,1.0
kodim17.png,70,False,1.0
kodim17.png,50,False,1.0
kodim18.png,lossless,True,0.0
kodim18.png,95,True,0.0
kodim18.png,90,True,0.0
kodim18.png,80,True,0.0
kodim18.png,70,False,0.0034
kodim18.png,50,False,1.0
kodim19.png,lossless,True,0.0
kodim19.png,95,True,0.0
kodim19.png,90,True,0.0
kodim19.png,80,True,0.0
kodim19.png,70,False,0.0034
kodim19.png,50,False,0.3596
kodim20.png,lossless,False,1.0
kodim20.png,95,False,0.0285
kodim20.png,90,False,1.0
kodim20.png,80,False,1.0
kodim20.png,70,False,1.0
kodim20.png,50,False,1.0
kodim21.png,lossless,True,0.0
kodim21.png,95,True,0.0
kodim21.png,90,True,0.0
kodim21.png,80,True,0.0
kodim21.png,70,False,0.0017
kodim21.png,50,False,0.375
kodim22.png,lossless,True,0.0
kodim22.png,95,True,0.0
kodim22.png,90,True,0.0
kodim22.png,80,False,1.0
kodim22.png,70,False,0.0068
kodim22.png,50,False,1.0
kodim23.png,lossless,True,0.0
kodim23.png,95,True,0.0
kodim23.png,90,True,0.0
kodim23.png,80,False,0.0017
kodim23.png,70,False,0.0017
kodim23.png,50,False,0.0428
kodim24.png,lossless,False,1.0
kodim24.png,95,False,1.0
kodim24.png,90,False,1.0
kodim24.png,80,False,1.0
kodim24.png,70,False,1.0
kodim24.png,50,False,1.0
signal-2026-02-16-184150.png,lossless,False,1.0
signal-2026-02-16-184150.png,95,False,0.0445
signal-2026-02-16-184150.png,90,False,0.0462
signal-2026-02-16-184150.png,80,False,1.0
signal-2026-02-16-184150.png,70,False,1.0
signal-2026-02-16-184150.png,50,False,1.0
sipi_baboon.png,lossless,True,0.0
sipi_baboon.png,95,True,0.0
sipi_baboon.png,90,True,0.0
sipi_baboon.png,80,False,0.0017
sipi_baboon.png,70,False,1.0
sipi_baboon.png,50,False,1.0
sipi_boat.png,lossless,True,0.0
sipi_boat.png,95,True,0.0
sipi_boat.png,90,True,0.0
sipi_boat.png,80,True,0.0
sipi_boat.png,70,False,0.0086
sipi_boat.png,50,False,1.0
sipi_house.png,lossless,True,0.0
sipi_house.png,95,True,0.0
sipi_house.png,90,True,0.0
sipi_house.png,80,True,0.0
sipi_house.png,70,False,0.0068
sipi_house.png,50,False,1.0
sipi_peppers.png,lossless,True,0.0
sipi_peppers.png,95,False,1.0
sipi_peppers.png,90,False,1.0
sipi_peppers.png,80,False,1.0
sipi_peppers.png,70,False,1.0
sipi_peppers.png,50,False,1.0
