image,condition,ground_truth_tampered,predicted_tampered,severity,tamper_ratio
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,untampered,False,False,,0.0
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,paste_block_32,True,False,,0.0006
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,copy_move_32,True,False,,0.0007
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,blur_region_32,True,False,,0.0006
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,splice_32,True,False,,0.0007
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,paste_block_64,True,False,,0.0011
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,copy_move_64,True,False,,0.002
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,blur_region_64,True,False,,0.0017
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,splice_64,True,False,,0.0019
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,paste_block_128,True,False,,0.0022
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,copy_move_128,True,False,,0.0066
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,blur_region_128,True,False,,0.0053
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,splice_128,True,False,,0.0066
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,global_brightness,True,True,low,0.0151
c2c2790b-7036-4b6b-90fe-c3e2f7ee5d24.png,salt_pepper_2pct,True,True,high,0.9964
IMG_0980.png,untampered,False,False,,0.0
IMG_0980.png,paste_block_32,True,False,,0.0011
IMG_0980.png,copy_move_32,True,False,,0.0012
IMG_0980.png,blur_region_32,True,False,,0.0012
IMG_0980.png,splice_32,True,False,,0.0012
IMG_0980.png,paste_block_64,True,False,,0.0021
IMG_0980.png,copy_move_64,True,False,,0.0033
IMG_0980.png,blur_region_64,True,False,,0.0027
IMG_0980.png,splice_64,True,False,,0.0033
IMG_0980.png,paste_block_128,True,False,,0.0041
IMG_0980.png,copy_move_128,True,True,low,0.0105
IMG_0980.png,blur_region_128,True,False,,0.0087
IMG_0980.png,splice_128,True,True,low,0.0108
IMG_0980.png,global_brightness,True,False,,0.0
IMG_0980.png,salt_pepper_2pct,True,True,high,0.9921
IMG_3577.png,untampered,False,False,,0.0
IMG_3577.png,paste_block_32,True,False,,0.0009
IMG_3577.png,copy_move_32,True,False,,0.0012
IMG_3577.png,blur_region_32,True,False,,0.0011
IMG_3577.png,splice_32,True,False,,0.0012
IMG_3577.png,paste_block_64,True,False,,0.0021
IMG_3577.png,copy_move_64,True,False,,0.0033
IMG_3577.png,blur_region_64,True,False,,0.0028
IMG_3577.png,splice_64,True,False,,0.0033
IMG_3577.png,paste_block_128,True,False,,0.0043
IMG_3577.png,copy_move_128,True,True,low,0.0105
IMG_3577.png,blur_region_128,True,False,,0.0091
IMG_3577.png,splice_128,True,True,low,0.0107
IMG_3577.png,global_brightness,True,False,,0.0007
IMG_3577.png,salt_pepper_2pct,True,True,high,0.9948
kodim01.png,untampered,False,False,,0.0
kodim01.png,paste_block_32,True,False,,0.0026
kodim01.png,copy_move_32,True,False,,0.0059
kodim01.png,blur_region_32,True,False,,0.0026
kodim01.png,splice_32,True,False,,0.0059
kodim01.png,paste_block_64,True,False,,0.0098
kodim01.png,copy_move_64,True,True,low,0.013
kodim01.png,blur_region_64,True,True,low,0.0104
kodim01.png,splice_64,True,True,low,0.013
kodim01.png,paste_block_128,True,True,low,0.0202
kodim01.png,copy_move_128,True,True,low,0.0527
kodim01.png,blur_region_128,True,True,low,0.0443
kodim01.png,splice_128,True,True,low,0.0527
kodim01.png,global_brightness,True,False,,0.0
kodim01.png,salt_pepper_2pct,True,True,high,0.9974
kodim02.png,untampered,False,False,,0.0
kodim02.png,paste_block_32,True,False,,0.0052
kodim02.png,copy_move_32,True,False,,0.0046
kodim02.png,blur_region_32,True,False,,0.0039
kodim02.png,splice_32,True,False,,0.0059
kodim02.png,paste_block_64,True,False,,0.0052
kodim02.png,copy_move_64,True,True,low,0.015
kodim02.png,blur_region_64,True,True,low,0.0104
kodim02.png,splice_64,True,True,low,0.0163
kodim02.png,paste_block_128,True,True,low,0.0208
kodim02.png,copy_move_128,True,True,low,0.0495
kodim02.png,blur_region_128,True,True,low,0.0508
kodim02.png,splice_128,True,True,low,0.0527
kodim02.png,global_brightness,True,False,,0.0
kodim02.png,salt_pepper_2pct,True,True,high,0.9974
kodim03.png,untampered,False,False,,0.0
kodim03.png,paste_block_32,True,False,,0.0026
kodim03.png,copy_move_32,True,False,,0.0033
kodim03.png,blur_region_32,True,False,,0.0026
kodim03.png,splice_32,True,False,,0.0033
kodim03.png,paste_block_64,True,True,low,0.0104
kodim03.png,copy_move_64,True,True,low,0.0163
kodim03.png,blur_region_64,True,False,,0.0098
kodim03.png,splice_64,True,True,low,0.0163
kodim03.png,paste_block_128,True,True,low,0.0104
kodim03.png,copy_move_128,True,True,low,0.0514
kodim03.png,blur_region_128,True,True,low,0.0306
kodim03.png,splice_128,True,True,low,0.0527
kodim03.png,global_brightness,True,False,,0.0
kodim03.png,salt_pepper_2pct,True,True,high,0.998
kodim04.png,untampered,False,False,,0.0
kodim04.png,paste_block_32,True,False,,0.0046
kodim04.png,copy_move_32,True,False,,0.0052
kodim04.png,blur_region_32,True,False,,0.0013
kodim04.png,splice_32,True,False,,0.0052
kodim04.png,paste_block_64,True,False,,0.0098
kodim04.png,copy_move_64,True,True,low,0.0163
kodim04.png,blur_region_64,True,False,,0.0013
kodim04.png,splice_64,True,True,low,0.0163
kodim04.png,paste_block_128,True,True,low,0.0202
kodim04.png,copy_move_128,True,True,low,0.0527
kodim04.png,blur_region_128,True,True,low,0.0247
kodim04.png,splice_128,True,True,low,0.0527
kodim04.png,global_brightness,True,False,,0.0
kodim04.png,salt_pepper_2pct,True,True,high,0.9987
kodim05.png,untampered,False,False,,0.0
kodim05.png,paste_block_32,True,False,,0.0039
kodim05.png,copy_move_32,True,False,,0.0059
kodim05.png,blur_region_32,True,False,,0.0033
kodim05.png,splice_32,True,False,,0.0052
kodim05.png,paste_block_64,True,False,,0.0098
kodim05.png,copy_move_64,True,True,low,0.015
kodim05.png,blur_region_64,True,True,low,0.0124
kodim05.png,splice_64,True,True,low,0.0163
kodim05.png,paste_block_128,True,False,,0.0098
kodim05.png,copy_move_128,True,True,low,0.0508
kodim05.png,blur_region_128,True,True,low,0.0436
kodim05.png,splice_128,True,True,low,0.0527
kodim05.png,global_brightness,True,False,,0.0
kodim05.png,salt_pepper_2pct,True,True,high,0.9798
kodim06.png,untampered,False,False,,0.0
kodim06.png,paste_block_32,True,False,,0.0046
kodim06.png,copy_move_32,True,False,,0.0059
kodim06.png,blur_region_32,True,False,,0.0033
kodim06.png,splice_32,True,False,,0.0052
kodim06.png,paste_block_64,True,False,,0.0085
kodim06.png,copy_move_64,True,True,low,0.013
kodim06.png,blur_region_64,True,True,low,0.0124
kodim06.png,splice_64,True,True,low,0.013
kodim06.png,paste_block_128,True,True,low,0.0189
kodim06.png,copy_move_128,True,True,low,0.0527
kodim06.png,blur_region_128,True,True,low,0.0469
kodim06.png,splice_128,True,True,low,0.0521
kodim06.png,global_brightness,True,True,low,0.084
kodim06.png,salt_pepper_2pct,True,True,high,0.9915
kodim07.png,untampered,False,False,,0.0
kodim07.png,paste_block_32,True,False,,0.0046
kodim07.png,copy_move_32,True,False,,0.0052
kodim07.png,blur_region_32,True,False,,0.0033
kodim07.png,splice_32,True,False,,0.0059
kodim07.png,paste_block_64,True,True,low,0.0104
kodim07.png,copy_move_64,True,True,low,0.0156
kodim07.png,blur_region_64,True,True,low,0.0124
kodim07.png,splice_64,True,True,low,0.0163
kodim07.png,paste_block_128,True,True,low,0.0189
kodim07.png,copy_move_128,True,True,low,0.0521
kodim07.png,blur_region_128,True,True,low,0.0358
kodim07.png,splice_128,True,True,low,0.0527
kodim07.png,global_brightness,True,False,,0.0
kodim07.png,salt_pepper_2pct,True,True,high,0.9974
kodim08.png,untampered,False,False,,0.0
kodim08.png,paste_block_32,True,False,,0.0039
kodim08.png,copy_move_32,True,False,,0.0059
kodim08.png,blur_region_32,True,False,,0.0039
kodim08.png,splice_32,True,False,,0.0059
kodim08.png,paste_block_64,True,True,low,0.0104
kodim08.png,copy_move_64,True,True,low,0.0143
kodim08.png,blur_region_64,True,True,low,0.0137
kodim08.png,splice_64,True,True,low,0.015
kodim08.png,paste_block_128,True,True,low,0.0104
kodim08.png,copy_move_128,True,True,low,0.0527
kodim08.png,blur_region_128,True,True,low,0.0469
kodim08.png,splice_128,True,True,low,0.0521
kodim08.png,global_brightness,True,False,,0.0013
kodim08.png,salt_pepper_2pct,True,True,high,0.9727
kodim09.png,untampered,False,False,,0.0
kodim09.png,paste_block_32,True,False,,0.0033
kodim09.png,copy_move_32,True,False,,0.0039
kodim09.png,blur_region_32,True,False,,0.0033
kodim09.png,splice_32,True,False,,0.0039
kodim09.png,paste_block_64,True,False,,0.0052
kodim09.png,copy_move_64,True,True,low,0.0163
kodim09.png,blur_region_64,True,True,low,0.0124
kodim09.png,splice_64,True,True,low,0.0163
kodim09.png,paste_block_128,True,False,,0.0052
kodim09.png,copy_move_128,True,True,low,0.0527
kodim09.png,blur_region_128,True,True,low,0.0417
kodim09.png,splice_128,True,True,low,0.0527
